"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"607877","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Shuttleworthia",NA
"4453318","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Grevillea",NA
"2936048","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__p-75-a5",NA
"4479695","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Actinobacillus",NA
"1140286","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Xenophilus",NA
"807782","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__",NA
"4475936","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Salmonella",NA
"310283","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__",NA
"565016","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix",NA
"4468965","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Gyrocarpus",NA
"10180","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Aquamonas",NA
"1122581","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium",NA
"154591","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Pseudonocardiaceae","g__",NA
"4479484","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas",NA
"327923","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__Halorhodospira",NA
"4457438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__",NA
"4330340","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bombiscardovia",NA
"531748","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Thiomonas",NA
"108476","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Dethiosulfatibacter",NA
"1107773","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HOC36","f__","g__",NA
"3344719","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__[Marinicellales]","f__[Marinicellaceae]","g__",NA
"1116679","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Providencia",NA
"220679","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Paludibacter",NA
"3121406","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus",NA
"121566","k__Bacteria","p__Tenericutes","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Acholeplasma",NA
"836917","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Marinilabiaceae","g__Cytophaga",NA
"541661","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Propionivibrio",NA
"4365130","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides",NA
"1810358","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Rhodocyclus",NA
"4388772","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Dechloromonas",NA
"4099915","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridiisalibacter",NA
"53642","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Clostridium",NA
"174174","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__02d06",NA
"367809","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Edwardsiella",NA
"8054","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas",NA
"4394973","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__Methylophaga",NA
"4471067","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__",NA
"288889","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__5-7N15",NA
"518452","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Garciella",NA
"4419564","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Denitratisoma",NA
"4449014","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Acidaminobacteraceae]","g__Acidaminobacter",NA
"4366487","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga",NA
"547256","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Alteromonadaceae","g__Marinobacter",NA
