"","metadata.Sample_name","metadata.Sample","metadata.Type","metadata.Location","metadata.Depth","metadata.Sort1","metadata.Sort2","metadata.Stage","metadata.Stage1","metadata.Study_day","metadata.Moisture","metadata.pH","metadata.EC","metadata.DO","metadata.CO2","metadata.NH4","metadata.NO3","metadata.TN","metadata.TC","metadata.CN_ratio","metadata.copies.gdw","metadata.log.copies.gdw","metadata.fungal.bacterial.ratio","metadata.log.f.b.ratio","metadata.Chao1","metadata.Shannon","metadata.InvSimpson","metadata.X","metadata.Phase","metadata.Donor"
"WIN_E75_IN3","E75_IN3","gr_int_win3","grint","grave","interface","E","E","Advanced1","G_Advanced",75,0.757647059,6.87,275.6,79,69.04169855,361.8409412,51.05144471,1.118,13.797,12.343,3.8983e+10,10.59087566,0.310708,-0.507647288,4223.020408,5.943932087,89.76217337,NA,"CLIMAX","Donor3_win"
"WIN_F94","F94","con15_mean","con15","control","core","F","con","Advanced2","Control",94,0.591776754,7.47,39.41333333,101.9333333,2.8575702,7.719530803,6.335865722,0.683666667,9.526666667,13.79466667,2129470000,9.328270692,0.0314182,-1.502818512,4612.046875,6.470407522,176.6874119,NA,"CLIMAX","Control_win"
"WIN_F94_CONINT","F94_CONINT","conint_mean","conint","control","interface","F","con","Advanced2","Control",94,0.738735911,7.423333333,38.27333333,101.9333333,3.542082972,7.725361765,6.995466044,0.848333333,12.32166667,14.7018,1.2363e+10,10.09212354,0.036991,-1.431903437,4612.452381,6.353372001,159.7733164,NA,"CLIMAX","Control_win"
"WIN_F94_CORE1","F94_CORE1","gr_15_win1","gr15","grave","core","F","F","Advanced2","G_Advanced",94,0.534579439,6.44,329.5,83.5,23.0004322,170.7270779,50.16233271,0.374,5.346,14.3093,2.0063e+10,10.30239673,0.0240099,-1.619608863,1930.758621,5.785951907,85.60529039,NA,"CLIMAX","Donor1_win"
"WIN_F94_CORE2","F94_CORE2","gr_15_win2","gr15","grave","core","F","F","Advanced2","G_Advanced",94,0.606517803,6.42,195.5,100.4,17.7388989,202.1642004,15.93665661,0.586,9.091,15.523,27832600000,10.44455414,0.0013451,-2.871244841,2331.94382,5.830824304,88.09491575,NA,"CLIMAX","Donor2_win"
"WIN_F94_CORE3","F94_CORE3","gr_15_win3","gr15","grave","core","F","F","Advanced2","G_Advanced",94,0.959401709,6.62,181.2,40.4,39.22961281,199.7022222,10.23068946,0.798,9.001,11.2812,42296800000,10.626308,0.00914465,-2.038832925,2113.828877,6.016327822,146.5500952,NA,"CLIMAX","Donor3_win"
"WIN_F94_IN1","F94_IN1","gr_int_win1","grint","grave","interface","F","F","Advanced2","G_Advanced",94,1.579154376,7.14,336.4,83.5,106.011831,2187.122911,0.973200918,2.08,32.311,15.537,1.1738e+11,11.06959501,0.131003,-0.882718711,1099.825581,4.757949044,34.36306203,NA,"CLIMAX","Donor1_win"
"WIN_F94_IN2","F94_IN2","gr_int_win2","grint","grave","interface","F","F","Advanced2","G_Advanced",94,1.183318853,7.23,613.1,100.4,90.99388169,1651.75349,0.416286128,1.279,21.875,17.0967,82912300000,10.91861894,0.165333,-0.781641412,1766.45625,5.5779798,91.93970136,NA,"CLIMAX","Donor2_win"
"WIN_F94_IN3","F94_IN3","gr_int_win3","grint","grave","interface","F","F","Advanced2","G_Advanced",94,1.215609756,7.05,588.2,40.4,95.53569623,1891.835317,0.72672,1.811,27.755,15.33,99089700000,10.99602852,0.0499982,-1.30104591,1176.679012,4.524504934,31.79426725,NA,"CLIMAX","Donor3_win"
"WIN_G110","G110","con15_mean","con15","control","core","G","con","Advanced3","Control",110,0.310556731,7.166666667,41.38666667,101.0666667,1.37148604,7.335303592,9.44142685,0.617333333,9.008666667,14.45606667,25290500000,10.40295799,0.00830993,-2.080402631,1440.068966,5.591694394,81.99583502,NA,"CLIMAX","Control_win"
"WIN_G110_CONINT","G110_CONINT","conint_mean","conint","control","interface","G","con","Advanced3","Control",110,0.271575302,7.423333333,47.72,101.0666667,1.272294744,12.72469357,18.68353266,0.815666667,11.455,14.1415,21954500000,10.34152341,0.000423141,-3.373515201,2072.605714,6.193776736,195.3011204,NA,"CLIMAX","Control_win"
"WIN_G110_CORE1","G110_CORE1","gr_15_win1","gr15","grave","core","G","G","Advanced3","G_Advanced",110,0.454769231,6.13,569.3,81.7,56.53863375,508.1217969,1.982365538,0.603,10.222,16.9634,37734800000,10.57674211,0.0174358,-1.758557261,1581.597403,5.404569743,47.34510822,NA,"CLIMAX","Donor1_win"
"WIN_G110_CORE2","G110_CORE2","gr_15_win2","gr15","grave","core","G","G","Advanced3","G_Advanced",110,0.418181818,6.47,235.8,81.3,18.39311636,100.8232727,76.92218182,0.643,8.693,13.5265,10331700000,10.01417274,0.0636925,-1.195911436,1428.192982,5.571639953,83.58181249,NA,"CLIMAX","Donor2_win"
"WIN_G110_CORE3","G110_CORE3","gr_15_win3","gr15","grave","core","G","G","Advanced3","G_Advanced",110,0.39556004,6.63,264.2,97.4,25.62162248,83.39866801,18.08273663,0.833,10.531,12.6405,17827300000,10.25108533,9.21071e-05,-4.035706721,1541.345912,5.86442328,130.3945779,NA,"CLIMAX","Donor3_win"
"WIN_G110_IN1","G110_IN1","gr_int_win1","grint","grave","interface","G","G","Advanced3","G_Advanced",110,0.838235294,6.13,701.8,81.7,99.19691281,754.9019608,42.23529412,1.694,23.056,13.614,52368800000,10.71907303,0.17338,-0.761000876,942.3076923,5.223388343,70.67957348,NA,"CLIMAX","Donor1_win"
"WIN_G110_IN2","G110_IN2","gr_int_win2","grint","grave","interface","G","G","Advanced3","G_Advanced",110,0.816572238,6.59,537.8,81.3,97.90113645,894.2379603,67.56679887,1.338,24.757,18.4972,59790400000,10.77663147,0.153752,-0.813179059,1179.791304,5.526610163,118.1111501,NA,"CLIMAX","Donor2_win"
"WIN_G110_IN3","G110_IN3","gr_int_win3","grint","grave","interface","G","G","Advanced3","G_Advanced",110,0.277039848,6.28,356.8,97.4,36.62742032,222.7157495,18.79121569,1.098,14.103,12.8387,32580300000,10.51295514,0.0847913,-1.071648568,2305.885714,6.147865422,183.5604011,NA,"CLIMAX","Donor3_win"
"WIN_H126","H126","con15_mean","con15","control","core","H","con","Advanced4","Control",126,0.439402038,7.283333333,62.58666667,101.0666667,1.619918974,7.845323866,17.79459268,0.615666667,8.364333333,13.6901,32503400000,10.51192874,0.0054142,-2.266465753,4122.536765,6.147795023,115.7438165,NA,"DECLINE","Control_win"
"WIN_H126_CONINT","H126_CONINT","conint_mean","conint","control","interface","H","con","Advanced4","Control",126,0.636525655,7.29,43.98,101.0666667,4.29137872,10.96831271,15.71006474,0.846666667,13.36866667,15.74133333,28292500000,10.45167137,0.0525553,-1.279383199,4507.06338,6.310197484,150.8467062,NA,"DECLINE","Control_win"
"WIN_H126_CORE1","H126_CORE1","gr_15_win1","gr15","grave","core","H","H","Advanced4","G_Advanced",126,0.46049896,6.27,386,92.9,26.32364424,221.567429,67.59578656,0.635,9.953,15.6707,15887500000,10.20105685,0.110447,-0.956847416,2996.340824,5.893421697,110.0912272,NA,"DECLINE","Donor1_win"
"WIN_H126_CORE2","H126_CORE2","gr_15_win2","gr15","grave","core","H","H","Advanced4","G_Advanced",126,0.482673267,6.48,131.3,99.5,17.06997419,173.3343894,76.43477228,0.591,8.496,14.3689,37106900000,10.56945462,0.612741,-0.212723367,3119.066456,5.694117785,101.8412959,NA,"DECLINE","Donor2_win"
"WIN_H126_CORE3","H126_CORE3","gr_15_win3","gr15","grave","core","H","H","Advanced4","G_Advanced",126,0.449290061,6.96,219,99.3,22.01073685,96.88987153,43.74923597,0.809,9.997,12.3518,25088200000,10.39946948,0.0325079,-1.4880116,2829.605096,6.081991857,127.5896081,NA,"DECLINE","Donor3_win"
"WIN_H126_IN1","H126_IN1","gr_int_win1","grint","grave","interface","H","H","Advanced4","G_Advanced",126,1.345125108,6.31,716.4,92.9,109.2070336,2454.56428,13.35783261,2.347,34.301,14.6177,1.36397e+11,11.13480471,0.06433,-1.19158666,1259.95082,4.146492959,15.30290846,NA,"DECLINE","Donor1_win"
"WIN_H126_IN2","H126_IN2","gr_int_win2","grint","grave","interface","H","H","Advanced4","G_Advanced",126,0.965594615,6.95,313.1,99.5,77.78241035,463.3561705,68.8744353,1.411,18.411,13.0472,67549100000,10.82961941,0.152496,-0.816742311,2237.0625,5.015562986,47.77778787,NA,"DECLINE","Donor2_win"
"WIN_H126_IN3","H126_IN3","gr_int_win3","grint","grave","interface","H","H","Advanced4","G_Advanced",126,0.658536585,6.85,367.2,99.3,63.81714099,834.1333333,115.9427642,1.388,16.017,11.5429,2.5669e+10,10.40940894,0.117736,-0.929089255,2815.858131,5.631953851,74.17125072,NA,"DECLINE","Donor3_win"
"WIN_J140","J140","con15_mean","con15","control","core","J","con","Advanced5_transition","Control",140,0.425089178,7.396666667,46.71333333,100.7,2.042382626,9.265446633,10.20819802,0.534,7.600666667,14.35843333,13791500000,10.13961064,0.0168712,-1.772854774,4244.857831,6.162905108,107.0196532,NA,"DECLINE","Control_win"
"WIN_J140_CONINT","J140_CONINT","conint_mean","conint","control","interface","J","con","Advanced5_transition","Control",140,0.52874948,7.306666667,46.60666667,100.7,3.432580411,10.75693722,12.85584052,0.837666667,12.75133333,15.37496667,20193200000,10.30520479,0.0487868,-1.311697337,4089.540541,6.317848944,150.6587574,NA,"DECLINE","Control_win"
"WIN_J140_CORE1","J140_CORE1","gr_15_win1","gr15","grave","core","J","J","Advanced5_transition","G_Advanced",140,0.483940043,6.88,185.9,79.6,17.84094338,546.3669379,65.29336188,0.682,9.025,13.2278,7.3607e+10,10.86691899,0.0167607,-1.775708388,3143.367003,5.822663738,106.3536989,NA,"DECLINE","Donor1_win"
"WIN_J140_CORE2","J140_CORE2","gr_15_win2","gr15","grave","core","J","J","Advanced5_transition","G_Advanced",140,0.503237198,6.4,135.2,94,10.77599672,125.9512341,31.76841279,0.649,9.316,14.3599,10168500000,10.00725503,0.104442,-0.981124002,2627.049505,5.335785272,34.61393569,NA,"DECLINE","Donor2_win"
