"","Verrucomicrobia","Proteobacteria","Actinobacteria","Acidobacteria","Firmicutes","Bacteroidetes","Chloroflexi","Rokubacteria","Entotheonellaeota","Bacteria_unclassified","Planctomycetes","Deinococcus-Thermus","Nitrospirae","Dependentiae","Latescibacteria","Gemmatimonadetes","Epsilonbacteraeota","BRC1","Cyanobacteria","FBP","Chlamydiae","Armatimonadetes","Patescibacteria","Fusobacteria","Elusimicrobia","Spirochaetes","Hydrogenedentes","Kiritimatiellaeota","Fibrobacteres","WS2","WPS-2","RsaHf231","FCPU426","WS4","Tenericutes","Synergistetes","GAL15","Omnitrophicaeota","Lentisphaerae"
"B8_CORE3",1173.1843575419,2524.65387418023,2734.02963322808,1294.63201360214,209.37575904785,156.424581005587,551.372358513481,311.39179013845,128.734515423852,128.248724799611,588.778236580034,0,16.0310905999514,19.917415593879,48.5790624240952,80.6412436239981,0,2.42895312120476,0.485790624240952,0,9.71581248481904,6.31527811513238,5.82948749089143,0,5.82948749089143,0.485790624240952,0,0,2.42895312120476,0,0,0,0,0,0,0,0,0.485790624240952,0
"B8_IN1",216.012850862361,4884.59587419682,1052.58708150152,249.40818397024,2683.88569496111,551.657084883328,150.49036185323,24.940818397024,9.72269191748394,14.7954007439973,128.508623605005,0,8.03178897531282,0.42272573554278,2.1136286777139,16.4863036861684,0,1.26817720662834,1.69090294217112,0,2.1136286777139,0.42272573554278,0.84545147108556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B8_IN2",301.062573789847,4734.75009838646,1570.2479338843,354.978354978355,2142.46359700905,351.042896497442,201.101928374656,22.8256591892955,15.3482880755608,25.5804801259347,217.237308146399,0,7.08382526564345,1.96772924045651,2.36127508854782,29.5159386068477,0,2.75482093663912,0.393545848091303,0,5.50964187327824,1.96772924045651,4.32900432900433,4.72255017709563,1.57418339236521,0,0.393545848091303,0,0.393545848091303,0.393545848091303,0,0,0,0,0,0,0,0,0
"B8_IN3",590.091418460631,3268.94721321144,2272.78089059275,736.360955470363,2028.01533470953,174.284871719257,363.904452963728,50.4276024771454,41.2857564140372,49.2480094367443,342.081981716308,0,15.9245060454143,2.94898260100265,4.12857564140372,40.4010616337364,0,1.47449130050133,2.06428782070186,0,3.53877912120319,3.53877912120319,2.94898260100265,0.294898260100265,2.65408434090239,0,0,0.294898260100265,0.884694780300796,0.589796520200531,0.294898260100265,0,0.294898260100265,0,0,0,0,0.294898260100265,0
"C12",992.692593510032,2574.31260837255,2265.91528362646,1637.97374287838,68.7391627446123,346.792172405251,577.780530096606,337.503096358682,94.1293039385682,138.716868962101,651.473866732722,0,37.7755759227149,31.5828585583354,64.4042605895467,116.423086450334,0,1.2385434728759,1.85781520931385,0,21.6745107753282,14.8625216745108,9.28907604656924,0,8.05053257369334,1.2385434728759,0.619271736437949,0,1.85781520931385,1.2385434728759,0,0,1.2385434728759,0,0,0,0,0.619271736437949,0
"C12_CONINT",946.909153743142,2589.31271329215,2972.48261263985,1325.32722795801,41.902457989546,477.342433798436,566.763143116333,111.883882673118,60.9097585208864,87.6927729059571,654.887900125275,0,13.8234912955203,8.6396820597002,12.5275389865653,82.5089636701369,0,3.02388872089507,2.59190461791006,0,9.93563436865523,6.91174564776016,11.6635707805953,0,4.75182513283511,0,0.86396820597002,0.43198410298501,5.61579333880513,0.43198410298501,0.43198410298501,0,0.43198410298501,0,0,0,0,0,0
"C12_CORE1",1071.89129404329,2634.85542739769,2646.23163216938,1246.32643387581,318.533733607205,143.150576710381,515.089271606889,328.645915626481,109.337968083425,157.686838363091,620.003160056881,0,29.3885289935219,12.0082161478907,37.6046768841839,88.7975983567704,0,2.84405119292147,4.74008532153579,0,12.324221835993,7.90014220255965,4.10807394533102,0,4.4240796334334,0,0,0.632011376204772,2.84405119292147,0,0,0,0.316005688102386,0,0,0,0,0.316005688102386,0
"C12_CORE2",899.473740736763,3076.73719256793,2385.61916013318,1096.55246482655,562.775212114703,466.383847062614,440.070883900763,175.598754161744,84.3088819675653,84.5773815916658,543.174739555365,0,19.6004725593384,6.98099022661368,35.1734507571689,72.2263988830416,0.805498872301579,1.61099774460316,1.87949736870368,0,15.30447857373,5.63849210611105,4.56449360970895,14.2304800773279,2.95349586510579,0,0,0,2.14799699280421,0.536999248201052,0.268499624100526,0.268499624100526,0,0,0.268499624100526,0,0,0.268499624100526,0
"C12_CORE3",1114.5697003997,2550.49343850589,2626.71996038343,1233.24254536451,414.912808177992,161.472887411128,543.489795196491,261.752325704786,122.740617594001,130.876162852393,629.266739768668,0,20.8694421845708,28.6512680839022,46.6909553959888,71.2744508506951,0,2.65289519295391,2.65289519295391,0,12.203317887588,7.95868557886173,8.13554525839199,0,5.48265006543808,0.176859679530261,0,0.176859679530261,2.47603551342365,0.530579038590782,0,0,0,0,0,0,0,0.530579038590782,0
"C12_IN1",24.8366902558519,2037.62928688078,297.35982580294,17.3516603157322,7022.65922700054,554.232444202504,15.6505171475231,3.06205770277627,1.36091453456723,4.7632008709853,15.6505171475231,0,0.340228633641807,0.340228633641807,0.340228633641807,0.340228633641807,0,0,0,0.340228633641807,2.38160043549265,0,0.340228633641807,1.02068590092542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
