"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"G58","con15_mean","G58","con15","control","core","58","G","con","Advanced3","Control","Advanced4",0.396896829,7.313333333,38.83666667,96.83333333,2.431128742,3.823500032,8.283661687,0.46,5.839333333,12.61153333,2699470000,9.431279047,0.0178383,-1.748647306,5809.162679,6.607744573,180.9747397,"CLIMAX","Control"
"G58_CONINT","conint_mean","G58_CONINT","conint","control","interface","58","G","con","Advanced3","Control","Advanced4",0.620348209,7.33,52.09333333,96.83333333,7.29917816,12.18967117,9.209643737,0.874333333,13.06166667,14.9076,2599480000,9.414887133,0.0301172,-1.521185484,3904.681265,6.532713589,188.9171673,"CLIMAX","Control"
"G58_CORE1","gr_15_sp1","G58_CORE1","gr15","grave","core","58","G","G","Advanced3","G_Advanced","Advanced4",0.410118407,6.25,602.3,63,57.01717209,710.8876929,6.610635091,0.684,9.657,14.1131,1.9372e+10,10.28717425,0.145343,-0.83760465,3471.055215,5.98051664,104.305046,"CLIMAX","Donor1"
"G58_CORE2","gr_15_sp2","G58_CORE2","gr15","grave","core","58","G","G","Advanced3","G_Advanced","Advanced4",0.457720588,6.41,331.3,71.6,63.69165452,86.97732843,0.431485294,0.906,11.428,12.613,3508370000,9.545105675,1.13669,0.055641072,2705.247191,5.207602463,58.57292921,"CLIMAX","Donor2"
"G58_CORE3","gr_15_sp3","G58_CORE3","gr15","grave","core","58","G","G","Advanced3","G_Advanced","Advanced4",0.418149466,6.43,258.7,87,45.46055752,50.67520759,3.539701068,0.555,8.193,14.7529,1221340000,9.086837676,0.409619,-0.38762012,3349.419948,6.425915984,188.0204893,"CLIMAX","Donor3"
"G58_IN1","gr_int_sp1","G58_IN1","grint","grave","interface","58","G","G","Advanced3","G_Advanced","Advanced4",1.023705004,7.53,1577,63,81.06737834,3208.516828,0.903921569,1.492,22.264,14.9199,15965100000,10.20317227,0.309114,-0.509881137,1791,5.292906151,71.49936927,"CLIMAX","Donor1"
"G58_IN2","gr_int_sp2","G58_IN2","grint","grave","interface","58","G","G","Advanced3","G_Advanced","Advanced4",0.757287329,6.08,427.3,71.6,75.49301592,500.0068213,0.145269086,1.13,17.878,15.8176,74060900000,10.86958896,0.259298,-0.586201063,1440.043478,4.143475884,19.17410137,"CLIMAX","Donor2"
"G58_IN3","gr_int_sp3","G58_IN3","grint","grave","interface","58","G","G","Advanced3","G_Advanced","Advanced4",0.680420105,6.47,476.3,87,74.87696218,767.615904,4.808242061,1.334,17.892,13.4156,8149160000,9.911112761,1.73884,0.240260171,1575.106383,4.002280785,17.88776869,"CLIMAX","Donor3"
"H72","con15_mean","H72","con15","control","core","72","H","con","Advanced4","Control","Advanced5",0.312211313,7.363333333,53.83333333,96.83333333,1.633706446,5.690740013,4.117560955,0.417,5.494,13.1135,10654900000,10.02755071,0.0408146,-1.389184432,3589.747283,6.251335845,133.4989719,"DECLINE","Control"
"H72_CONINT","conint_mean","H72_CONINT","conint","control","interface","72","H","con","Advanced4","Control","Advanced5",0.298052459,7.293333333,61.84,96.83333333,1.983243401,8.382565991,9.64422434,0.828666667,11.90266667,14.36833333,21858100000,10.33961174,0.070814,-1.149880594,3523.361878,6.376029942,150.1691147,"DECLINE","Control"
