"","Proteobacteria","Verrucomicrobia","Actinobacteria","Acidobacteria","Chloroflexi","Entotheonellaeota","Rokubacteria","Bacteria_unclassified","Bacteroidetes","Firmicutes","Nitrospirae","Planctomycetes","Dependentiae","Epsilonbacteraeota","Gemmatimonadetes","Cyanobacteria","Chlamydiae","Latescibacteria","Deinococcus-Thermus","FBP","BRC1","Armatimonadetes","Fibrobacteres","Patescibacteria","Elusimicrobia","WPS-2","RsaHf231","Fusobacteria","Tenericutes","Hydrogenedentes","Synergistetes","WS2","Spirochaetes","GAL15","Lentisphaerae","Kiritimatiellaeota","FCPU426","Omnitrophicaeota"
"WIN_C38_CORE3",3641.44874842679,560.760732764648,2486.36554328066,1219.40987274507,432.107397566774,53.1394210599916,268.493916934694,102.083624667879,405.537687036778,346.804642707314,5.5936232694728,385.960005593623,5.5936232694728,0,50.3426094252552,0,1.3984058173682,20.976087260523,0,0,1.3984058173682,5.5936232694728,1.3984058173682,1.3984058173682,2.7968116347364,0,0,0,0,0,0,1.3984058173682,0,0,0,0,0,0
"WIN_C38_IN1",5237.19632304662,182.20617202889,1227.01904136573,319.271175311884,137.885751805647,14.7734734077479,23.8017071569271,25.4432042022324,1275.44320420223,1348.48982271832,4.1037426132633,178.102429415627,1.64149704530532,2.46224556795798,13.9527248850952,1.64149704530532,1.64149704530532,0.820748522652659,0,0,0,0,1.64149704530532,1.64149704530532,0,0,0,0.820748522652659,0,0,0,0,0,0,0,0,0,0
"WIN_C38_IN2",4214.04078686158,312.218011189316,1784.8763761054,508.03104132828,264.392708897311,19.852012272153,50.5323948745714,18.9496480779643,1189.3160079408,1353.54629128316,0.902364194188775,237.321783071648,0,3.6094567767551,27.0709258256632,3.6094567767551,1.80472838837755,1.80472838837755,0,0,0,2.70709258256632,2.70709258256632,1.80472838837755,0,0,0.902364194188775,0,0,0,0,0,0,0,0,0,0,0
"WIN_C38_IN3",5266.7240266724,196.816519681652,1416.43364164336,437.728543772854,190.363519036352,24.7365024736502,68.8320068832007,25.8120025812003,610.884061088406,1465.90664659066,4.30200043020004,253.818025381803,2.15100021510002,0,17.2080017208002,3.22650032265003,5.37750053775005,2.15100021510002,0,0,0,2.15100021510002,0,3.22650032265003,0,0,2.15100021510002,0,0,0,0,0,0,0,0,0,0,0
"WIN_D55",2424.11584516848,799.220272904483,2617.6552492342,1769.70203285993,636.313004734057,94.6811473127263,373.155109997215,128.098022834865,144.806460595934,139.236981342244,32.0245057087162,664.160401002506,23.6702868281816,0,79.3650793650794,6.96184906711222,8.35421888053467,20.8855472013367,1.39236981342244,0,1.39236981342244,13.9236981342244,4.17710944026734,9.74658869395711,1.39236981342244,0,0,0,0,0,0,0,2.78473962684489,1.39236981342244,0,0,1.39236981342244,0
"WIN_D55_CONINT",2588.59784283513,903.954802259887,2475.60349255265,1961.99280945044,503.338469440164,56.4971751412429,97.5860297894196,82.1777092963534,400.616332819723,30.8166409861325,51.3610683102209,616.33281972265,25.6805341551104,0,112.994350282486,15.4083204930663,15.4083204930663,5.13610683102209,0,0,0,10.2722136620442,5.13610683102209,15.4083204930663,10.2722136620442,5.13610683102209,0,0,0,0,0,0,5.13610683102209,0,0,0,0,5.13610683102209
"WIN_D55_CORE1",3284.73413379074,898.799313893654,1650.08576329331,1523.15608919382,463.121783876501,82.3327615780446,334.476843910806,178.387650085763,682.675814751286,217.838765008576,24.0137221269297,444.253859348199,15.4373927958834,6.86106346483705,101.200686106346,3.43053173241852,3.43053173241852,37.7358490566038,0,0,6.86106346483705,27.4442538593482,1.71526586620926,1.71526586620926,6.86106346483705,0,0,0,0,0,0,0,0,3.43053173241852,0,0,0,0
"WIN_D55_CORE2",3011.4778259122,1102.67518199276,1986.06583002099,1414.85418248403,515.38564601849,101.826626769684,262.158903130722,116.56469117056,305.479880309053,393.461658702157,27.243088741012,493.50185342325,6.25251217006833,147.827252020901,63.4183377249788,0.446608012147738,7.59233620651155,19.6507525345005,0,0.446608012147738,1.33982403644321,12.0584163279889,2.23304006073869,3.12625608503417,4.01947210932964,0,0,0,0,0.446608012147738,0,0,0,0,0,0,0.446608012147738,0
"WIN_D55_CORE3",2857.28523021726,656.76699222643,2511.46103248954,1508.86984253538,518.237990831174,96.3391136801541,269.417314464155,158.793435652116,331.871636436117,268.08849910305,20.26443425686,672.712776559697,11.9593382499502,1.32881536110557,67.4373795761079,2.65763072221115,7.64068832635705,19.6000265763072,0,0.332203840276394,1.66101920138197,6.97628064580427,2.65763072221115,4.31864992359312,1.66101920138197,0,0,0,0,0.332203840276394,0,0.996611520829181,0,0.332203840276394,0,0,0,0
"WIN_D55_IN1",4748.37939269874,157.795974070283,1369.8396451723,188.502217673149,81.0303650631184,3.41180484476288,8.5295121119072,15.353121801433,2354.14534288639,881.951552371204,0.85295121119072,116.001364721938,1.70590242238144,29.8532923916752,9.38246332309792,3.41180484476288,5.97065847833504,0,0,0,2.55885363357216,5.11770726714432,0,0.85295121119072,0,0.85295121119072,1.70590242238144,12.7942681678608,0,0,0,0,0,0,0,0,0,0
