Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson,
gr_15_sp2,F43_CORE2,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.242331288,5.98,465.5,75,39.13200769,109.6564417,9.312515337,0.432,6.533,15.1235,2.00824E+10,10.3028162,7.65603E-01,-0.115996526,320.0526316,2.302364786,6.830054974,
gr_int_sp3,F43_IN3,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.515252357,6.02,1036,80.25,69.74934741,2325.811351,0.682873729,1.307,30.04,22.9862,2.74613E+10,10.43872056,9.04591E-01,-0.043547662,283.0714286,2.900956907,11.18133914,
gr_15_sp3,F43_CORE3,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.344211823,5.52,437.5,80.25,48.6749513,257.0133005,1.828128079,0.536,10.19,18.9962,8.71770E+09,9.940401691,3.09953E-01,-0.508704253,715.0181818,2.904610432,8.673342815,
conint_mean,F43_CONINT,conint,control,interface,43,F,con,Advanced2,Control,Advanced3,0.223929144,7.023333333,98.67666667,99.06666667,1.63922552,27.39708509,9.734563673,0.892666667,13.11933333,14.68863333,2.08013E+09,9.318090554,1.14099E-01,-0.942717041,1551.464286,4.579329868,31.59036698,
con15_mean,F43,con15,control,core,43,F,con,Advanced2,Control,Advanced3,0.269576426,7.133333333,66.82,99.06666667,1.921501233,10.3450656,6.6711092,0.494,7.006,14.26033333,7.85503E+08,8.895148012,3.27554E-02,-1.484717365,2059.410156,5.381792603,82.64720827,
gr_int_sp1,G58_IN1,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,1.023705004,7.53,1577,63,81.06737834,3208.516828,0.903921569,1.492,22.264,14.9199,4.93505E+09,9.693291137,3.09114E-01,-0.509881137,495.1212121,3.035662881,12.50796521,
gr_15_sp1,G58_CORE1,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.410118407,6.25,602.3,63,57.01717209,710.8876929,6.610635091,0.684,9.657,14.1131,2.81559E+09,9.449569601,1.45343E-01,-0.83760465,833.5645161,3.321562473,16.78855235,
gr_int_sp2,G58_IN2,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,0.757287329,6.08,427.3,71.6,75.49301592,500.0068213,0.145269086,1.13,17.878,15.8176,1.92038E+10,10.2833879,2.59298E-01,-0.586201063,410.2758621,2.688393665,9.477249414,
gr_15_sp2,G58_CORE2,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.457720588,6.41,331.3,71.6,63.69165452,86.97732843,0.431485294,0.906,11.428,12.613,3.98792E+09,9.600746747,1.13669E+00,0.055641072,501.55,2.933001867,9.23145751,
gr_int_sp3,G58_IN3,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,0.680420105,6.47,476.3,87,74.87696218,767.615904,4.808242061,1.334,17.892,13.4156,1.41701E+10,10.15137293,1.73884E+00,0.240260171,373.4166667,2.410234217,6.385081226,
gr_15_sp3,G58_CORE3,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.418149466,6.43,258.7,87,45.46055752,50.67520759,3.539701068,0.555,8.193,14.7529,5.00285E+08,8.699217555,4.09619E-01,-0.38762012,456.4468085,3.073599467,6.444238277,
conint_mean,G58_CONINT,conint,control,interface,58,G,con,Advanced3,Control,Advanced4,0.620348209,7.33,52.09333333,96.83333333,7.29917816,12.18967117,9.209643737,0.874333333,13.06166667,14.9076,7.82892E+07,7.893701648,3.01172E-02,-1.521185484,1369.162393,5.331520798,74.74126329,
con15_mean,G58,con15,control,core,58,G,con,Advanced3,Control,Advanced4,0.396896829,7.313333333,38.83666667,96.83333333,2.431128742,3.823500032,8.283661687,0.46,5.839333333,12.61153333,4.81539E+07,7.682631741,1.78383E-02,-1.748647306,1151.608108,4.912711062,45.46662605,
gr_int_sp1,H72_IN1,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.604120677,6.36,924.2,50.7,80.84668188,2514.191808,2.647868531,1.234,17.376,14.0811,8.71408E+09,9.940221517,3.73963E-01,-0.427171827,299.5,2.816137211,10.54695254,
gr_15_sp1,H72_CORE1,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.445508982,6.39,1044,50.7,37.99830742,884.9405988,9.742730539,0.541,7.814,14.4426,1.47617E+10,10.16913762,4.82900E-02,-1.316142666,199,1.81614805,4.322173408,
gr_int_sp2,H72_IN2,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.56294964,7.69,914.9,84.4,66.85186993,1527.731175,10.43216787,1.136,13.776,12.1313,4.17447E+09,9.620601223,1.33110E-01,-0.875789651,249.4,3.00534,9.705217231,
gr_15_sp2,H72_CORE2,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.333127699,7.26,393.7,84.4,10.08277531,269.3806704,10.08200041,0.313,3.818,12.2141,6.72843E+09,9.827913749,2.78548E-01,-0.555100036,583.5681818,2.966230255,7.430148791,
gr_int_sp3,H72_IN3,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.399428027,6.98,638.8,75,68.71810818,995.2732126,25.67483953,0.903,12.271,13.5945,2.41384E+10,10.38270857,4.54620E-01,-0.342351844,427.4642857,3.637715835,22.70039325,
gr_15_sp3,H72_CORE3,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.416986301,6.06,234.2,75,38.94999979,89.45906849,2.662044932,0.449,6.957,15.5051,2.06281E+09,9.314459645,8.30454E-01,-0.080684569,344.3225806,3.56489266,15.13623595,
conint_mean,H72_CONINT,conint,control,interface,72,H,con,Advanced4,Control,Advanced5,0.298052459,7.293333333,61.84,96.83333333,1.983243401,8.382565991,9.64422434,0.828666667,11.90266667,14.36833333,1.54786E+09,9.189731145,7.08140E-02,-1.149880594,2290.338028,5.260796077,68.03342995,
con15_mean,H72,con15,control,core,72,H,con,Advanced4,Control,Advanced5,0.312211313,7.363333333,53.83333333,96.83333333,1.633706446,5.690740013,4.117560955,0.417,5.494,13.1135,4.34877E+08,8.638366277,4.08146E-02,-1.389184432,1623.404145,4.912802428,55.16174533,
gr_int_sp1,J86_IN1,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,1.013986014,6.54,1202,72,102.6277082,4313.152448,0.835132867,1.627,27.451,16.8683,1.03743E+10,10.01595922,1.89896E-01,-0.72148305,251.2,2.533527967,6.818037858,
gr_15_sp1,J86_CORE1,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.433776465,6.21,498.3,72,52.61327186,618.2444116,26.77147415,0.445,5.904,13.2707,2.92433E+08,8.466026765,6.60547E-01,-0.180096099,424.6666667,2.559351403,5.709492253,
gr_int_sp2,J86_IN2,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.623160589,6.95,409,88.2,55.71551591,440.6339945,52.09696225,0.863,12.634,14.6388,2.29257E+09,9.360322549,3.39646E-01,-0.468973173,494.3846154,3.099563844,10.41477777,
gr_15_sp2,J86_CORE2,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.436835106,6.7,203.9,88.2,8.740563431,102.3026596,36.27721277,0.446,5.803,13.0186,4.04773E+08,8.607211122,1.29466E-01,-0.887845621,686.2112676,3.934772837,23.47765574,
gr_int_sp3,J86_IN3,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.887931034,6.77,551,94.3,87.81927283,931.8827586,69.91889655,1.479,22.446,15.1791,3.08690E+09,9.489522565,1.66431E+00,0.221234029,663.7678571,3.312785232,9.518280266,
gr_15_sp3,J86_CORE3,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.434302909,6.49,240.3,94.3,24.93964394,191.7184888,3.516910732,0.41,5.48,13.3714,3.08239E+08,8.488887224,2.83295E+00,0.452238352,720.2,4.111530145,30.83666101,
conint_mean,J86_CONINT,conint,control,interface,86,J,con,Advanced5_transition,Control,Advanced6,0.461795251,7.26,50.54666667,97.76666667,4.519357113,11.61239216,13.67462518,0.808,11.66733333,14.439,1.14299E+09,9.058044269,4.30966E-02,-1.365556793,1997.144578,4.636297936,26.03577244,
con15_mean,J86,con15,control,core,86,J,con,Advanced5_transition,Control,Advanced6,0.367500005,7.17,40.36666667,97.76666667,1.752686632,6.810963137,7.888749947,0.481666667,6.190333333,12.85553333,6.40734E+08,8.806677842,3.90253E-02,-1.408653585,1522.585366,4.619736227,29.14793517,
gr_int_sp1,K103_IN1,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,0.74201278,6.86,1017,71.5,88.58690353,798.7709265,150.5099042,1.294,17.65,13.6375,1.22571E+10,10.08838872,2.52189E-01,-0.598273353,443.5964912,2.789197622,6.843846965,
gr_15_sp1,K103_CORE1,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.377077364,5.76,581,71.5,32.51203461,281.3277249,78.36488252,0.625,10.874,17.3976,2.08961E+09,9.320065829,1.91799E-01,-0.717153503,752.5967742,3.379662389,10.82352836,
gr_int_sp2,K103_IN2,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,0.660447761,6.22,435.8,92.6,22.03178884,229.141791,163.1223881,1.026,12.067,11.7643,2.28318E+09,9.358539639,4.00092E-01,-0.397840454,541.7,3.083977948,8.750365486,
gr_15_sp2,K103_CORE2,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.372093023,6.43,253.5,92.6,3.67986418,19.06294574,51.26139535,0.379,4.745,12.5342,3.62180E+08,8.558924774,1.62515E-01,-0.789105712,656.4,3.30788124,10.46593137,
gr_int_sp3,K103_IN3,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,1.061139028,6.79,266,87.9,62.76729361,384.1963149,23.61790508,1.333,18.002,13.5079,1.14770E+10,10.05982697,1.18983E+00,0.075485803,292.0857143,2.699592529,8.729018537,
gr_15_sp3,K103_CORE3,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.493099122,5.78,343.6,87.9,41.38460666,121.5979925,3.410238394,0.628,10.333,16.4467,2.36725E+09,9.374244514,2.18274E+00,0.339002401,384.6216216,2.635351283,7.182626637,
conint_mean,K103_CONINT,conint,control,interface,103,K,con,Advanced1,Control,Advanced7,0.465710931,6.95,49.69333333,97.2,3.441055522,10.7432175,9.7583618,0.795,11.76933333,14.75393333,1.81654E+08,8.25924489,1.28036E-01,-0.892667235,1614.392405,5.244764282,63.37731487,
con15_mean,K103,con15,control,core,103,K,con,Advanced1,Control,Advanced7,0.36748779,7.293333333,56.66333333,97.2,2.049199366,6.703964305,5.886210875,0.430666667,5.602,13.00283333,9.43155E+07,7.974582855,3.19835E-02,-1.495073644,1159.842105,4.850133487,50.52855137,
gr_int_sp1,M117_IN1,grint,grave,interface,117,M,M,Advanced1,G_Advanced,Advanced8,0.561230093,7.1,472.3,86.5,53.18973035,1046.440491,89.88522057,1.146,13.949,12.1743,9.37379E+08,8.97191517,2.63656E-01,-0.578961668,510.516129,3.371924938,13.20048362,
gr_15_sp1,M117_CORE1,gr15,grave,core,117,M,M,Advanced1,G_Advanced,Advanced8,0.385135135,5.57,678.1,86.5,31.7175822,420.1576577,126.4351351,0.552,9.186,16.6532,8.67268E+08,8.938153501,3.21107E-01,-0.493349905,926.2289157,3.538004241,14.41541765,
gr_int_sp2,M117_IN2,grint,grave,interface,117,M,M,Advanced1,G_Advanced,Advanced8,0.474824356,5.83,721.2,97.1,15.85939495,89.4726776,367.0346214,1.075,12.634,11.7545,1.12438E+10,10.05091434,1.87656E+00,0.273362207,356.4565217,2.647567933,7.025971377,
gr_15_sp2,M117_CORE2,gr15,grave,core,117,M,M,Advanced1,G_Advanced,Advanced8,0.318404908,6.49,247,97.1,3.581525298,33.75116564,77.06516155,0.476,6.288,13.2205,3.07110E+09,9.487294058,3.28151E-01,-0.483926231,1340.4,3.835637255,11.91889961,
gr_int_sp3,M117_IN3,grint,grave,interface,117,M,M,Advanced1,G_Advanced,Advanced8,0.587589237,6.51,272,94.7,37.29824855,157.2771737,101.2246897,1.061,14.354,13.5236,1.58861E+09,9.201016053,7.30248E-01,-0.13652959,631.8730159,4.010004399,30.77044781,
gr_15_sp3,M117_CORE3,gr15,grave,core,117,M,M,Advanced1,G_Advanced,Advanced8,0.502360081,6.05,262.7,94.7,47.32323196,141.7426658,14.37057496,0.716,11.733,16.3767,5.16206E+09,9.712823138,9.76440E-01,-0.010354651,725.04,2.812714537,6.909404842,
conint_mean,M117_CONINT,conint,control,interface,117,M,con,Advanced1,Control,Advanced8,0.312502407,7.023333333,34.96666667,98.63333333,1.960390344,12.62819769,11.71686261,0.750666667,10.43533333,13.88483333,1.26134E+08,8.100833594,1.10565E-01,-0.956382287,1616.662983,4.924179789,36.66312525,
con15_mean,M117,con15,control,core,117,M,con,Advanced1,Control,Advanced8,0.30758279,7.213333333,55.45666667,98.63333333,1.916169065,7.439136686,10.78529924,0.447333333,6.148,13.67513333,2.73014E+08,8.436184574,8.80987E-02,-1.05503026,2205.11245,5.055602782,49.96705375,
gr_int_sp1,N132_IN1,grint,grave,interface,132,N,N,Advanced1,G_Advanced,Advanced9,0.430951102,6.46,886.1,90.7,70.71132337,788.5494537,268.3510299,1.079,12.17,11.278,2.15435E+08,8.33331595,6.46872E-01,-0.189181804,233.7142857,3.247249391,12.8140425,
gr_15_sp1,N132_CORE1,gr15,grave,core,132,N,N,Advanced1,G_Advanced,Advanced9,0.431113662,5.79,648,90.7,37.17364207,230.3520551,131.0518485,0.82,10.778,13.1375,5.16806E+09,9.713327683,9.57619E-01,-0.018807091,411.0222222,2.560587696,7.813553546,
gr_int_sp2,N132_IN2,grint,grave,interface,132,N,N,Advanced1,G_Advanced,Advanced9,0.274409044,5.84,317,98.9,5.606624788,115.7163412,204.4152107,0.977,11.634,11.9109,7.15698E+08,8.854729796,2.08179E-01,-0.681562388,695.8813559,3.821757007,18.72807174,
gr_15_sp2,N132_CORE2,gr15,grave,core,132,N,N,Advanced1,G_Advanced,Advanced9,0.234229829,6.27,228.9,98.9,2.633014681,14.90949633,39.59409291,0.463,6.125,13.2338,4.28404E+09,9.631853121,6.08340E-01,-0.215853921,736.8153846,3.654765985,13.40190384,
