Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
F75_INT2,gr_int_win2,grint,grave,interface,F,F,Advanced2,G_Advanced,94,1.183318853,7.23,613.1,100.4,90.99388169,1651.75349,0.416286128,1.279,21.875,17.0967,1.37081E+10,10.13697752,1.65333E-01,-0.781641412,338.6216216,1.964643211,3.824261992
F75_CORE2,gr_15_win2,gr15,grave,core,F,F,Advanced2,G_Advanced,94,0.606517803,6.42,195.5,100.4,17.7388989,202.1642004,15.93665661,0.586,9.091,15.523,3.74377E+07,7.573309298,1.34510E-03,-2.871244841,885.9191919,2.826295833,3.714072203
F75_INT3,gr_int_win3,grint,grave,interface,F,F,Advanced2,G_Advanced,94,1.215609756,7.05,588.2,40.4,95.53569623,1891.835317,0.72672,1.811,27.755,15.33,4.95430E+09,9.694982608,4.99982E-02,-1.30104591,224.75,2.029168668,3.844783222
F75_CORE3,gr_15_win3,gr15,grave,core,F,F,Advanced2,G_Advanced,94,0.959401709,6.62,181.2,40.4,39.22961281,199.7022222,10.23068946,0.798,9.001,11.2812,3.86790E+08,8.587475073,9.14465E-03,-2.038832925,725.7692308,3.09909093,9.987427791
F75_CONINT,conint_mean,conint,control,interface,F,con,Advanced2,Control,94,0.738735911,7.423333333,38.27333333,101.9333333,3.542082972,7.725361765,6.995466044,0.848333333,12.32166667,14.7018,4.57320E+08,8.660220105,3.69910E-02,-1.431903437,1529.924171,5.316939793,53.94872138
F75,con15_mean,con15,control,core,F,con,Advanced2,Control,94,0.591776754,7.47,39.41333333,101.9333333,2.8575702,7.719530803,6.335865722,0.683666667,9.526666667,13.79466667,6.69040E+07,7.82545218,3.14182E-02,-1.502818512,937.3333333,5.218082324,71.13546826
G94_INT1,gr_int_win1,grint,grave,interface,G,G,Advanced3,G_Advanced,110,0.838235294,6.13,701.8,81.7,99.19691281,754.9019608,42.23529412,1.694,23.056,13.614,9.07971E+09,9.958072156,1.73380E-01,-0.761000876,338.3,2.434958507,5.723468151
G94_CORE1,gr_15_win1,gr15,grave,core,G,G,Advanced3,G_Advanced,110,0.454769231,6.13,569.3,81.7,56.53863375,508.1217969,1.982365538,0.603,10.222,16.9634,6.57938E+08,8.818184847,1.74358E-02,-1.758557261,726.6111111,2.68606138,3.871665496
G94_INT2,gr_int_win2,grint,grave,interface,G,G,Advanced3,G_Advanced,110,0.816572238,6.59,537.8,81.3,97.90113645,894.2379603,67.56679887,1.338,24.757,18.4972,9.19290E+09,9.96345241,1.53752E-01,-0.813179059,283.0263158,2.375303474,5.244409397
G94_CORE2,gr_15_win2,gr15,grave,core,G,G,Advanced3,G_Advanced,110,0.418181818,6.47,235.8,81.3,18.39311636,100.8232727,76.92218182,0.643,8.693,13.5265,6.58054E+08,8.818261302,6.36925E-02,-1.195911436,480.1666667,3.276694171,11.08482925
G94_INT3,gr_int_win3,grint,grave,interface,G,G,Advanced3,G_Advanced,110,0.277039848,6.28,356.8,97.4,36.62742032,222.7157495,18.79121569,1.098,14.103,12.8387,2.76253E+09,9.441306569,8.47913E-02,-1.071648568,468.7142857,2.69836345,7.052465913
G94_CORE3,gr_15_win3,gr15,grave,core,G,G,Advanced3,G_Advanced,110,0.39556004,6.63,264.2,97.4,25.62162248,83.39866801,18.08273663,0.833,10.531,12.6405,1.64202E+06,6.21537861,9.21071E-05,-4.035706721,473.3448276,3.091156622,10.33729215
G94_CONINT,conint_mean,conint,control,interface,G,con,Advanced3,Control,110,0.271575302,7.423333333,47.72,101.0666667,1.272294744,12.72469357,18.68353266,0.815666667,11.455,14.1415,9.28984E+06,6.968008213,4.23141E-04,-3.373515201,1633.367257,5.576723567,109.0639917
G94,con15_mean,con15,control,core,G,con,Advanced3,Control,110,0.310556731,7.166666667,41.38666667,101.0666667,1.37148604,7.335303592,9.44142685,0.617333333,9.008666667,14.45606667,2.10163E+08,8.322555354,8.30993E-03,-2.080402631,1275.05,4.920374128,43.65558245
H110_INT1,gr_int_win1,grint,grave,interface,H,H,Advanced4,G_Advanced,126,1.345125108,6.31,716.4,92.9,109.2070336,2454.56428,13.35783261,2.347,34.301,14.6177,8.77441E+09,9.943218048,6.43300E-02,-1.19158666,417.2173913,2.042089376,3.726423252
H110_CORE1,gr_15_win1,gr15,grave,core,H,H,Advanced4,G_Advanced,126,0.46049896,6.27,386,92.9,26.32364424,221.567429,67.59578656,0.635,9.953,15.6707,1.75473E+09,9.244209429,1.10447E-01,-0.956847416,782.8,2.945542736,6.213243184
H110_INT2,gr_int_win2,grint,grave,interface,H,H,Advanced4,G_Advanced,126,0.965594615,6.95,313.1,99.5,77.78241035,463.3561705,68.8744353,1.411,18.411,13.0472,1.03009E+10,10.0128771,1.52496E-01,-0.816742311,379.2857143,1.829758813,3.015469719
H110_CORE2,gr_15_win2,gr15,grave,core,H,H,Advanced4,G_Advanced,126,0.482673267,6.48,131.3,99.5,17.06997419,173.3343894,76.43477228,0.591,8.496,14.3689,2.27369E+10,10.35673125,6.12741E-01,-0.212723367,443.12,1.985181821,3.561960563
